feat_names,sys,dia,tl,hdl,ldl
cl_0424,6704,6852,2611,4792,5022
cl_100005,1900,2406,1503,2239,3063
cl_100006,2002,1796,1546,2509,2946
cl_100007,1947,2229,1188,2457,3446
cl_pm100010,1014,906,373,810,1076
cl_100012,837,671,571,628,740
cl_100013,512,531,523,720,1063
cl_100014,520,610,542,716,975
cl_10002,4404,4911,2902,4184,5241
cl_10003,3302,3187,2036,3190,3462
cl_10004,6935,6636,3628,6112,6334
cl_10009,793,924,404,700,732
cl_1106,1347,1124,992,2294,876
cl_1107,832,1016,1320,857,2906
cl_1110,615,364,428,712,537
cl_1112,647,578,570,699,873
cl_1115,7058,5970,3233,4808,5609
cl_1117,6713,6123,4755,6357,6260
cl_1124,153,88,225,321,200
cl_1125,280,221,240,338,233
cl_1127,1357,1186,1073,1090,1153
cl_1321,2669,2170,1247,1872,2237
cl_1322,2671,1964,1322,1857,2041
cl_1345,2599,1904,913,1659,1561
cl_139,609,474,571,904,1022
cl_143,1124,782,784,922,1246
cl_1474,593,577,499,614,887
cl_155,1445,1506,972,1342,1539
cl_1814,6018,4982,3598,4835,5156
cl_1815,6847,6038,3492,5946,5865
cl_183,4565,4500,2976,4132,4252
cl_1840,1794,1597,1305,1767,1791
cl_1844,630,588,654,637,961
cl_1845,3033,2884,1784,2967,3331
cl_1850,7828,7301,4768,7008,7273
cl_1873,503,537,438,531,519
cl_189,400,376,929,907,1124
cl_190,5451,5242,2961,5563,5729
cl_191,6017,4842,4704,5979,5979
cl_192,6904,5797,4156,5943,7074
cl_193,5166,5661,5309,5976,8131
cl_20002,482,459,752,736,630
cl_2174,4291,3740,2091,4040,4201
cl_2177,494,405,632,661,934
cl_pm2228,484,466,189,244,450
cl_pm2229,709,475,241,456,455
cl_pm2230,322,196,104,151,223
cl_pm2231,312,265,150,256,245
cl_pm2233,304,242,165,330,324
cl_med_status,353,454,176,247,659
cl_2333,4724,4458,2344,3977,4198
cl_2371,316,423,169,320,417
cl_2372,3701,3822,2293,4123,4451
cl_2376,511,418,562,564,549
cl_2386,576,767,376,933,825
cl_2390,258,179,365,357,503
cl_2403,5171,4488,3275,4794,4955
cl_2404,6716,4816,2817,4063,4888
cl_2405,6272,6234,3891,5180,5507
cl_2406,3101,2158,1444,2468,3210
cl_2407,353,319,404,284,560
cl_2409,932,1120,424,703,845
cl_2420,2538,3522,1170,2166,2140
cl_269003,857,986,841,1265,1814
cl_269004,885,728,612,1027,1176
cl_269005,539,427,472,874,935
cl_269006,817,937,646,1027,1417
cl_269007,1044,1267,812,1648,1701
cl_269008,854,764,832,1489,1378
cl_269009,1038,916,767,1258,1210
cl_269010,1051,687,602,1193,913
cl_269011,1158,1744,769,1155,1714
cl_269012,931,1403,848,925,945
cl_269013,886,1332,583,964,1314
cl_269014,1018,864,643,1012,1034
cl_269015,563,734,593,863,952
cl_269016,762,827,874,1023,1119
cl_269017,736,662,538,1026,825
cl_269018,853,938,949,1180,1228
cl_269019,936,783,471,968,1393
cl_269020,819,761,757,1117,1115
cl_269021,638,611,474,904,1066
cl_269022,469,276,259,481,331
cl_269023,516,450,570,687,791
cl_269024,257,274,215,253,344
cl_269025,842,1333,887,1410,1213
cl_269026,781,686,481,689,933
cl_279006,473,601,470,764,650
cl_2986,288,178,201,461,387
cl_300001,461,388,429,552,683
cl_pm300005,389,568,166,444,447
cl_300006,259,163,291,378,299
cl_300007,284,252,340,446,527
cl_300008,257,369,282,482,470
cl_300009,425,208,281,352,453
cl_300011,241,374,328,378,392
cl_300012,392,338,416,486,327
cl_300013,379,328,231,392,325
cl_300014,324,299,369,365,603
cl_300017,934,806,754,936,762
cl_pm300018,122,302,134,321,406
cl_pm300019,164,149,132,316,402
cl_300021,781,725,717,1158,1146
cl_300035,450,490,413,516,501
cl_pm300036,546,524,382,599,776
cl_30006,932,609,781,837,989
cl_300068,293,255,429,604,469
cl_300070,295,315,212,463,429
cl_300074,579,785,449,514,709
cl_300076,484,287,308,563,766
cl_300078,158,248,284,410,426
cl_300092,846,910,612,902,810
cl_300131,235,79,141,100,277
cl_31,2336,2882,1225,1999,2277
cl_312,1752,1614,1423,2106,1980
cl_313,2095,3407,1399,1681,2193
cl_314,3649,4653,1975,3643,4283
cl_315,2001,1797,1165,2566,2502
cl_316,1907,2057,1149,2128,2216
cl_317,1786,2246,1507,2263,2646
cl_pm3189,603,788,312,827,731
cl_319,2078,1817,1311,2084,3170
cl_pm3190,63,42,545,198,284
cl_pm3191,183,106,42,125,94
cl_pm3192,24,53,319,185,69
cl_3193,2476,1629,771,1636,1549
cl_pm3194,494,473,260,428,529
cl_pm3195,815,847,226,270,246
cl_pm3196,119,276,37,74,22
cl_pm3197,9,9,14,25,118
cl_32,1744,1865,1141,1887,1929
cl_320,1791,1823,1329,2279,2780
cl_pm3207,292,252,115,357,409
cl_321,270,429,253,1052,827
cl_33,1678,1428,1385,1858,2658
cl_34,1197,833,591,1038,1655
cl_pm3430,66,124,121,209,248
cl_pm3485,483,342,173,315,358
cl_pm3486,393,277,104,221,322
cl_pm360,569,601,479,1224,1357
cl_37,1867,1809,972,2076,2416
cl_pm3730,121,115,137,260,406
cl_pm3731,30,76,22,37,54
cl_38,2086,1923,1198,1935,2299
cl_39_y,2169,2131,1474,2432,2636
cl_459154,107,87,278,527,353
cl_459155,5,17,33,80,61
cl_459156,16,34,51,153,113
cl_459158,113,86,204,225,256
cl_459159,287,220,274,338,264
cl_669001,842,840,558,719,1069
cl_669002,761,724,523,746,1129
cl_669003,494,417,407,475,708
cl_669004,637,747,374,622,966
cl_669005,840,905,615,546,1076
cl_669006,612,498,475,666,996
cl_669007,523,611,228,480,228
cl_669008,438,606,291,454,323
cl_669009,422,648,405,466,467
cl_669021,742,646,1724,2053,2738
cl_pm669024,50,89,50,80,71
cl_809001,535,469,260,439,578
cl_809004,294,440,296,276,348
cl_809008,278,272,309,280,475
cl_809009,487,275,348,394,566
cl_809010,239,257,252,306,671
cl_809013,284,258,199,256,364
cl_809017,211,200,195,189,247
cl_809018,216,265,193,207,263
cl_809019,208,156,172,275,365
cl_809021,438,498,433,361,707
cl_809022,285,181,354,290,479
cl_809023,185,243,244,210,347
cl_809024,122,128,156,213,385
cl_809025,211,278,152,243,293
cl_809026,163,133,106,223,195
cl_809027,142,108,216,279,298
cl_809029,160,143,199,120,323
cl_809034,165,232,135,199,462
cl_809037,240,175,258,594,500
cl_809038,191,323,267,438,600
cl_809039,282,324,361,604,459
cl_809040,150,245,205,455,526
cl_809041,421,212,396,472,508
cl_809042,75,68,125,290,269
cl_809043,241,221,436,692,413
cl_809044,162,343,341,475,415
cl_809045,224,433,274,467,257
cl_809046,307,378,350,546,458
cl_809047,83,62,146,338,213
cl_809048,225,304,417,647,553
cl_809049,221,373,474,358,361
cl_809050,547,817,365,590,645
cl_809051,305,339,308,565,461
cl_809052,229,287,271,769,377
cl_809053,348,267,453,652,521
cl_809054,528,338,395,642,547
cl_809055,272,272,355,946,894
cl_809056,398,276,297,698,765
cl_809057,306,116,226,634,506
cl_809058,187,445,233,458,391
cl_809059,182,124,190,217,348
cl_809060,436,342,438,811,460
cl_809061,287,285,313,707,591
cl_979001,1103,693,1052,940,1074
cl_979002,1300,649,658,886,1063
cl_979003,581,714,468,778,861
cl_979004,969,605,402,888,911
cl_979005,756,871,526,1096,974
cl_979006,786,874,648,1279,1378
cl_979007,784,493,670,1188,783
cl_979008,618,490,582,921,964
cl_979009,593,409,573,1181,858
cl_979010,447,371,488,965,823
cl_979011,564,1137,648,603,588
cl_979012,721,1040,755,906,864
cl_979013,335,343,189,263,351
cl_979014,717,491,406,684,669
cl_979015,500,469,531,792,705
cl_979016,472,512,450,669,717
cl_979017,709,396,699,1078,876
cl_979018,301,226,242,572,489
cl_979019,572,367,511,1051,841
cl_979020,494,405,405,764,628
cl_979021,704,433,599,932,779
cl_979022,582,566,458,879,795
cl_979023,634,533,706,916,667
cl_979024,168,133,250,466,513
cl_979025,92,169,298,469,345
cl_979026,22,112,36,20,35
cl_979027,19,33,46,83,77
cl_a701,263,285,308,233,522
cl_a703,153,193,477,440,468
cl_abdomen_palpate,246,278,49,325,136
cl_age_cat,1353,1479,548,491,834
cl_allergy,139,197,155,470,387
cl_aortic_artery_activity,264,204,205,276,264
cl_cardusg_avsize,318,224,196,249,349
cl_bbv_s1_peak,109,136,77,133,210
cl_bbv_speed,482,343,35,229,228
cl_bbv_elasticity,572,432,165,306,359
cl_bmd,1452,724,394,807,892
cl_heart_surgery,240,164,82,192,499
cl_carotid_plaque,406,121,160,169,189
cl_carotid_end,1041,694,422,771,925
cl_comb_hx_bp,690,1059,343,252,407
cl_combine_smok,38,19,55,82,35
cl_conslt_hypertension,189,253,80,144,171
cl_conslt_cardiovasc,134,166,89,209,159
cl_conslt_diabetes,87,77,36,64,84
cl_conslt_hyperlipid,64,70,38,50,40
cl_ct_head,772,712,348,662,549
cl_ct_heart,1568,1124,302,410,733
cl_ct_fatty_liver,464,386,270,440,385
cl_cardusg_bp,0,0,23,29,15
cl_cardusg_structure,631,474,15,54,138
cl_cxr,979,961,461,905,1093
cl_ecg,3942,4355,692,1531,1516
cl_fundus_athero,1276,950,283,828,898
cl_retinal,353,336,210,303,355
cl_family,119,172,60,359,184
cl_gender,1263,1011,542,651,697
cl_hp,370,437,225,379,453
cl_heart_sound,100,161,142,192,105
cl_hx_ca,17,23,87,26,26
cl_hx_cvd,193,477,120,182,370
cl_hx_dm,479,772,150,178,305
cl_hx_gastro,135,209,104,211,159
cl_hx_gout,14,30,52,37,93
cl_hx_kidney,60,64,30,80,52
cl_hx_lipid,152,71,414,253,250
cl_hx_hypertyroid,18,18,10,18,16
cl_renalusg_left,213,334,27,374,240
cl_lens,1608,1370,250,504,577
cl_lipoma,557,489,293,499,456
cl_liverusg_digit,67,64,27,96,46
cl_mri_head,354,244,99,157,248
cl_murmur,251,179,97,368,157
cl_pancreasusg,364,366,108,155,238
cl_pregenancy,370,405,225,287,285
cl_lung_capacity,239,69,115,80,72
cl_renalusg_right,259,242,106,294,368
cl_cva_tender,342,288,110,247,519
cl_rhythm,245,280,70,36,32
cl_spleenusg,527,751,21,233,356
cl_urine_micro,426,484,186,538,602
cl_urine_color,520,402,91,421,682
cl_bv_elasticity,2837,2688,311,507,758
cl_gallusg,623,610,448,372,595
cl_liver_size,406,425,120,418,516
cl_liverusg_tract,303,503,550,280,224
cl_liverusg_echo,849,961,616,552,642
cl_liverusg_texture,20,22,129,88,86
cl_heart_size,413,427,200,431,624
